"datesold","postcode","price","propertyType","bedrooms"
"2007-02-07 00:00:00","2607","525000","house","4"
"2007-02-27 00:00:00","2906","290000","house","3"
"2007-03-07 00:00:00","2905","328000","house","3"
"2007-03-09 00:00:00","2905","380000","house","4"
"2007-03-21 00:00:00","2906","310000","house","3"
"2007-04-04 00:00:00","2905","465000","house","4"
"2007-04-24 00:00:00","2607","399000","house","3"
"2007-04-30 00:00:00","2606","1530000","house","4"
"2007-05-24 00:00:00","2902","359000","house","3"
"2007-05-25 00:00:00","2906","320000","house","3"
"2007-06-26 00:00:00","2902","385000","house","3"
"2007-06-27 00:00:00","2906","305000","house","3"
"2007-06-27 00:00:00","2612","850000","house","4"
"2007-06-28 00:00:00","2904","765000","house","4"
"2007-06-30 00:00:00","2615","517000","house","4"
"2007-07-02 00:00:00","2914","800000","house","5"
"2007-07-03 00:00:00","2906","336000","house","3"
"2007-07-06 00:00:00","2615","535000","house","5"
"2007-07-07 00:00:00","2602","900000","house","4"
"2007-07-08 00:00:00","2600","327000","house","1"
"2007-07-12 00:00:00","2602","427500","house","3"
"2007-07-13 00:00:00","2602","780000","house","3"
"2007-07-18 00:00:00","2602","530000","house","3"
"2007-07-18 00:00:00","2602","590000","house","3"
"2007-07-20 00:00:00","2605","525000","house","3"
"2007-07-20 00:00:00","2904","549000","house","4"
"2007-07-21 00:00:00","2603","1780000","house","4"
"2007-07-30 00:00:00","2611","446000","house","3"
"2007-07-30 00:00:00","2607","558000","house","4"
"2007-07-31 00:00:00","2605","506000","house","3"
"2007-07-31 00:00:00","2903","520000","house","4"
"2007-08-03 00:00:00","2905","383000","house","3"
"2007-08-03 00:00:00","2607","520000","house","3"
"2007-08-07 00:00:00","2904","815000","house","5"
"2007-08-10 00:00:00","2602","545500","house","3"
"2007-08-10 00:00:00","2602","760000","house","3"
"2007-08-11 00:00:00","2602","520000","house","3"
"2007-08-11 00:00:00","2606","636000","house","3"
"2007-08-14 00:00:00","2617","625000","house","4"
"2007-08-16 00:00:00","2600","790000","house","4"
"2007-08-21 00:00:00","2905","320000","house","3"
"2007-08-21 00:00:00","2902","418000","house","5"
"2007-08-21 00:00:00","2905","455000","house","4"
"2007-08-23 00:00:00","2913","560000","house","4"
"2007-08-24 00:00:00","2904","585000","house","4"
"2007-08-28 00:00:00","2906","325000","house","2"
"2007-08-28 00:00:00","2902","420000","house","4"
"2007-08-29 00:00:00","2602","599000","house","3"
"2007-08-30 00:00:00","2905","315000","house","2"
"2007-08-30 00:00:00","2913","367000","house","3"
"2007-08-31 00:00:00","2902","348000","house","3"
"2007-08-31 00:00:00","2611","532500","house","4"
"2007-09-03 00:00:00","2611","465000","house","3"
"2007-09-04 00:00:00","2913","820000","house","4"
"2007-09-06 00:00:00","2611","590000","house","3"
"2007-09-11 00:00:00","2904","559000","house","4"
"2007-09-15 00:00:00","2902","446000","house","4"
"2007-09-18 00:00:00","2602","470000","house","3"
"2007-09-20 00:00:00","2903","396500","house","4"
"2007-09-20 00:00:00","2604","479000","house","3"
"2007-09-21 00:00:00","2603","1460000","house","5"
"2007-09-22 00:00:00","2602","500000","house","4"
"2007-09-22 00:00:00","2602","506000","house","4"
"2007-09-22 00:00:00","2607","520000","house","4"
"2007-09-24 00:00:00","2612","920000","house","4"
"2007-09-27 00:00:00","2903","507000","house","4"
"2007-10-02 00:00:00","2611","475000","house","3"
"2007-10-09 00:00:00","2904","397000","house","3"
"2007-10-10 00:00:00","2605","556000","house","3"
"2007-10-12 00:00:00","2905","447000","house","4"
"2007-10-12 00:00:00","2614","720000","house","4"
"2007-10-15 00:00:00","2615","273000","house","1"
"2007-10-16 00:00:00","2615","368000","house","3"
"2007-10-16 00:00:00","2905","385000","house","3"
"2007-10-17 00:00:00","2904","560000","house","5"
"2007-10-19 00:00:00","2905","455000","house","4"
"2007-10-19 00:00:00","2906","480000","house","4"
"2007-10-24 00:00:00","2906","300500","house","3"
"2007-10-24 00:00:00","2602","505000","house","3"
"2007-10-25 00:00:00","2602","135500","house","1"
"2007-10-25 00:00:00","2912","590000","house","4"
"2007-10-25 00:00:00","2617","645000","house","5"
"2007-10-25 00:00:00","2605","770000","house","4"
"2007-10-26 00:00:00","2913","1100000","house","5"
"2007-11-02 00:00:00","2913","365000","house","3"
"2007-11-02 00:00:00","2607","612500","house","4"
"2007-11-05 00:00:00","2615","472500","house","4"
"2007-11-05 00:00:00","2611","600000","house","5"
"2007-11-07 00:00:00","2615","372500","house","3"
"2007-11-08 00:00:00","2905","395000","house","3"
"2007-11-08 00:00:00","2602","497000","house","2"
"2007-11-08 00:00:00","2906","595000","house","4"
"2007-11-12 00:00:00","2611","465000","house","2"
"2007-11-12 00:00:00","2903","505000","house","4"
"2007-11-16 00:00:00","2615","379000","house","3"
"2007-11-16 00:00:00","2604","505000","house","3"
"2007-11-17 00:00:00","2614","380000","house","3"
"2007-11-17 00:00:00","2902","655000","house","4"
"2007-11-17 00:00:00","2603","760000","house","3"
"2007-11-17 00:00:00","2603","760500","house","3"
"2007-11-20 00:00:00","2615","442500","house","4"
"2007-11-22 00:00:00","2902","560000","house","4"
"2007-11-23 00:00:00","2904","560000","house","4"
"2007-11-24 00:00:00","2905","335000","house","3"
"2007-11-24 00:00:00","2605","575000","house","3"
"2007-11-27 00:00:00","2902","439000","house","3"
"2007-11-29 00:00:00","2912","308000","house","1"
"2007-11-29 00:00:00","2906","353000","house","3"
"2007-11-30 00:00:00","2602","425000","house","3"
"2007-11-30 00:00:00","2602","825000","house","3"
"2007-12-01 00:00:00","2615","930000","house","5"
"2007-12-03 00:00:00","2905","365000","house","3"
"2007-12-03 00:00:00","2906","387000","house","3"
"2007-12-04 00:00:00","2906","620000","house","4"
"2007-12-05 00:00:00","2600","825000","house","3"
"2007-12-06 00:00:00","2905","335000","house","3"
"2007-12-07 00:00:00","2902","350000","house","3"
"2007-12-08 00:00:00","2602","421000","house","3"
"2007-12-08 00:00:00","2906","545000","house","4"
"2007-12-12 00:00:00","2605","635000","house","4"
"2007-12-13 00:00:00","2606","357500","house","3"
"2007-12-13 00:00:00","2913","400000","house","4"
"2007-12-13 00:00:00","2612","1105000","house","4"
"2007-12-14 00:00:00","2602","259000","house","2"
"2007-12-14 00:00:00","2905","437500","house","3"
"2007-12-15 00:00:00","2906","530000","house","4"
"2007-12-19 00:00:00","2602","630000","house","3"
"2007-12-20 00:00:00","2905","615000","house","4"
"2007-12-21 00:00:00","2615","332000","house","3"
"2007-12-21 00:00:00","2902","490000","house","3"
"2008-01-02 00:00:00","2906","309000","house","2"
"2008-01-14 00:00:00","2602","413000","house","3"
"2008-01-15 00:00:00","2905","445000","house","4"
"2008-01-15 00:00:00","2902","600000","house","4"
"2008-01-17 00:00:00","2605","417500","house","2"
"2008-01-17 00:00:00","2913","462500","house","4"
"2008-01-17 00:00:00","2615","485000","house","4"
"2008-01-18 00:00:00","2602","580000","house","4"
"2008-01-23 00:00:00","2601","380000","house","1"
"2008-01-24 00:00:00","2602","560000","house","4"
"2008-01-24 00:00:00","2906","575000","house","4"
"2008-01-24 00:00:00","2612","1035000","house","4"
"2008-01-30 00:00:00","2602","485000","house","3"
"2008-02-01 00:00:00","2905","599000","house","4"
"2008-02-04 00:00:00","2902","349000","house","3"
"2008-02-07 00:00:00","2905","360000","house","3"
"2008-02-07 00:00:00","2614","375000","house","3"
"2008-02-07 00:00:00","2905","405000","house","3"
"2008-02-08 00:00:00","2617","395000","house","3"
"2008-02-09 00:00:00","2906","417000","house","3"
"2008-02-09 00:00:00","2602","560000","house","3"
"2008-02-09 00:00:00","2903","650000","house","4"
"2008-02-11 00:00:00","2617","416000","house","4"
"2008-02-12 00:00:00","2902","749000","house","4"
"2008-02-15 00:00:00","2904","575000","house","4"
"2008-02-15 00:00:00","2602","625000","house","3"
"2008-02-16 00:00:00","2611","610000","house","5"
"2008-02-19 00:00:00","2615","445000","house","4"
"2008-02-21 00:00:00","2611","655000","house","5"
"2008-02-23 00:00:00","2617","500000","house","4"
"2008-02-23 00:00:00","2602","515000","house","2"
"2008-02-23 00:00:00","2605","811000","house","5"
"2008-02-27 00:00:00","2904","590000","house","4"
"2008-02-27 00:00:00","2905","645000","house","5"
"2008-02-27 00:00:00","2612","730000","house","4"
"2008-02-29 00:00:00","2906","342000","house","3"
"2008-02-29 00:00:00","2617","471000","house","4"
"2008-02-29 00:00:00","2617","488000","house","3"
"2008-03-13 00:00:00","2611","646000","house","4"
"2008-03-14 00:00:00","2615","655000","house","4"
"2008-03-15 00:00:00","2602","580000","house","3"
"2008-03-19 00:00:00","2615","405000","house","3"
"2008-03-20 00:00:00","2611","695000","house","4"
"2008-04-09 00:00:00","2906","420000","house","4"
"2008-04-09 00:00:00","2611","503000","house","3"
"2008-04-10 00:00:00","2906","380000","house","3"
"2008-04-11 00:00:00","2906","334000","house","3"
"2008-04-11 00:00:00","2611","395000","house","3"
"2008-04-11 00:00:00","2615","467500","house","4"
"2008-04-14 00:00:00","2604","522500","house","3"
"2008-04-14 00:00:00","2913","635000","house","5"
"2008-04-14 00:00:00","2617","690000","house","4"
"2008-04-14 00:00:00","2904","780000","house","4"
"2008-04-15 00:00:00","2904","679000","house","5"
"2008-04-18 00:00:00","2602","467000","house","3"
"2008-04-21 00:00:00","2906","649000","house","5"
"2008-04-22 00:00:00","2902","675000","house","4"
"2008-04-23 00:00:00","2905","415000","house","3"
"2008-04-23 00:00:00","2611","445000","house","4"
"2008-04-24 00:00:00","2600","292500","house","1"
"2008-04-24 00:00:00","2602","450000","house","3"
"2008-04-29 00:00:00","2602","680000","house","4"
"2008-04-29 00:00:00","2602","950000","house","4"
"2008-04-30 00:00:00","2602","485000","house","3"
"2008-05-01 00:00:00","2617","640000","house","4"
"2008-05-02 00:00:00","2906","332000","house","2"
"2008-05-02 00:00:00","2906","622500","house","4"
"2008-05-02 00:00:00","2602","775000","house","4"
"2008-05-05 00:00:00","2604","575000","house","2"
"2008-05-05 00:00:00","2604","690000","house","3"
"2008-05-09 00:00:00","2611","465000","house","3"
"2008-05-12 00:00:00","2906","635000","house","5"
"2008-05-13 00:00:00","2906","307000","house","2"
"2008-05-14 00:00:00","2611","450000","house","3"
"2008-05-16 00:00:00","2902","442000","house","3"
"2008-05-16 00:00:00","2611","490000","house","3"
"2008-05-17 00:00:00","2602","865000","house","5"
"2008-05-19 00:00:00","2905","430000","house","4"
"2008-05-23 00:00:00","2905","444000","house","3"
"2008-05-27 00:00:00","2607","535000","house","3"
"2008-05-28 00:00:00","2611","542000","house","4"
